RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	84960	104840	64.75	-22.666667	644500	-224000	27WVM2067981637	NQ27-13	T	RKS		IC	29					N				GARDHAR	Garðar	Gardhar	1995-09-06
1	83054	102451	65.883333	-21.033333	655300	-210200	27WVP9848006907	NQ27-10	H	SHOL		IC	30					N				HRYGGUR	Hryggur	Hryggur	1995-09-06
1	84077	103742	66.183333	-23.483333	661100	-232900	27WUP8812342564	NQ27-05	H	COVE		IC	36					N			Vík	SKALAVIK	Skálavík	Skalavik	1995-09-06
1	84671	104465	65.366667	-23.383333	652200	-232300	27WUN8917451416	NQ27-09	T	RKS		IC	34					N			Boðar	AUSTURBODHAR	Austurboðar	Austurbodhar	1995-09-06
1	84676	104471	65.383333	-23.15	652300	-230900	27WVN0008452882	NQ27-09	T	RKS		IC	34					N			Sker	DRAPSKER	Drápsker	Drapsker	1995-09-06
1	84222	103925	65.816667	-22.916667	654900	-225500	27WVP1239600812	NQ27-09	H	CAPG		IC	36					N			Jökull	GLAMAJOKULL	Glámajökull	Glamajokull	1995-09-06
1	83408	102887	65.683333	-20	654100	-200000	27WWN4594784980	NQ27-10	T	PK		IC	05					N				TROLLABOTNAR	Tröllabotnar	Trollabotnar	1995-09-06
1	83751	103334	66.333333	-16.166667	662000	-161000	28WDU4774357552	NQ27-07	T	PLN		IC	21					N			Slétta	MELRAKKASLETTA	Melrakkaslétta	Melrakkasletta	1995-09-06
1	293794	368057	64.383889	-21.485833	642302	-212909	27WVM7656439883	NQ27-13	H	BNK		IC	07					N			sandur	LITLISANDUR	Litlisandur	Litlisandur	1997-05-23
1	294404	368795	64.359167	-21.405	642133	-212418	27WVM8044537100	NQ27-13	H	STM		IC	15					N			á	BRYNJUDALSA	Brynjudalsá	Brynjudalsa	1997-05-23
1	294454	368861	64.398889	-21.443056	642356	-212635	27WVM7863941539	NQ27-13	S	HSE		IC	07					N				LITLISANDUR	Litlisandur	Litlisandur	1997-05-23
1	293666	367852	64.340556	-21.673889	642026	-214026	27WVM6744135137	NQ27-13	T	RK		IC	15					N			sker	MARIUSKER	Mariusker	Mariusker	1997-05-23
1	293733	367979	64.418333	-21.648611	642506	-213855	27WVM6875143791	NQ27-13	T	RDGE		IC	07					N			háls	KALASTADHAHALS	Kalastaðaháls	Kalastadhahals	1997-05-23
1	293742	367993	64.423611	-21.596667	642525	-213548	27WVM7125944355	NQ27-13	T	RDGE		IC	07			204		N			háls	SAURBAEJARHALS	Saurbæjarháls	Saurbaejarhals	1997-05-23
